University,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used
University of San Diego,3.9,0.914923292,5711,459889.5,0.66,1236,0.51,47708,0,1
Miami University--Oxford,3.63,0.889264582,16981,453537.5,0.66,1259,0.8,14578,1,1
Worcester Polytechnic Institute,3.8,0.986745214,4432,451093.5,0.8,1380,0.48,48628,0,1
St. Olaf College,3.6,0.95361991,3040,447320.5,0.85,1282,0.45,46000,0,0
Mississippi State University,3.4,0.854626912,18090,446795.5,0.32,1140,0.71,8138,1,0
University of St. Thomas,3.6,0.952882483,6111,442846.5,0.62,1202,0.83,41133,0,1
Temple University,3.6,0.93965017,29275,440208.5,0.44,1195,0.52,16274,1,1
University of Wyoming,3.5,0.818088033,9788,433777.5,0.27,1122,0.95,5217,1,0
Virginia Military Institute,3.6,0.952554745,1713,433440.5,0.64,1139,0.51,18214,1,0
DePaul University,3.6,0.910606542,15407,429124.5,0.59,1185,0.7,39010,0,1
Hofstra University,3.6,0.929640719,6899,414802,0.53,1210,0.62,43960,0,1
Union College,3.4,0.937625755,2203,410756,0.81,970,0.37,53490,0,1
University of South Florida,3.9,0.732174385,31461,406369.5,0.44,1167,0.47,6410,1,1
Wheaton College,3.7,0.92972973,2456,398823,0.82,1314,0.68,35190,0,0
University of New Mexico,3.3,0.532801418,20215,398455,0.23,1040,0.47,7150,1,1
Dickinson College,3.78,0.966183575,2420,398049.5,0.81,1360,0.48,52930,0,1
Earlham College,3.7,0.92238806,1031,394826,0.65,1315,0.58,45750,0,0
Clark University,3.7,0.953692115,2289,388410,0.71,1335,0.55,44400,0,1
Occidental College,3.6,0.918544194,2062,381923.5,0.76,1304,0.46,52838,0,1
University of Connecticut,3.67,0.874763288,19324,380160,0.7,1233,0.49,14880,1,1
University of the Pacific,3.5,0.912317328,3483,379057.5,0.5,1152,0.66,46346,0,1
Quinnipiac University,3.4,0.976190476,7099,377919.5,0.69,1095,0.76,46780,0,0
University of the South,3.7,0.882926829,1731,367797.5,0.79,1295,0.44,45120,0,1
Spelman College,3.5,0.920197044,2125,354886.5,0.71,1015,0.53,28181,0,1
Wabash College,3.7,0.960212202,843,341020,0.64,1145,0.63,42250,0,1
Western Michigan University,3.3,0.914032698,18313,337755,0.22,1030,0.82,1943,1,1
Skidmore College,3.68,0.925233645,2680,335776,0.85,1239,0.29,52446,0,1
The New School,3.3,0.909277294,7014,334584,0.53,1200,0.6,47330,0,1
University of California--Davis,4,0.747367229,29546,330564.5,0.55,1226,0.42,14382,1,1
Rhodes College,3.9,0.92519685,1999,329070.5,0.77,1306,0.54,46504,0,1
Franklin and Marshall College,3.81,0.944816054,2255,320093,0.83,1375,0.36,54380,0,1
Utah State University,3.46,0.669511902,24838,319987.5,0.23,1084,0.9,7174,1,1
University of Puget Sound,3.6,0.961176471,2508,316018.5,0.7,1290,0.79,48090,0,1
The Catholic University of America,3.33,0.955819881,3241,315306.5,0.62,1195,0.8,44060,0,1
Fairfield University,3.5,0.956451613,4032,313656.5,0.78,1270,0.61,47165,0,0
University of San Francisco,3.4,0.922339406,6745,307343.5,0.62,1172,0.71,46250,0,1
University of Nevada--Reno,3.6,0.767055729,18191,304642.5,0.23,1084,0.83,7599,1,1
Wayne State University,3.4,0.811167652,17280,303894.5,0.13,1070,0.68,13278,1,1
Scripps College,4,0.912280702,1039,300516,0.8,1362,0.3,52966,0,1
University of Alaska,3.3,0.663585003,7239,297936.5,0.15,1058,0.73,8144,1,1
Barnard College,3.8,0.876122083,2588,291639.5,0.83,1357,0.17,52662,0,1
Colorado State University,3.6,0.876653136,25177,283851.5,0.42,1145,0.85,11632,1,1
Emerson College,3.7,0.974928367,3790,277671,0.77,1211,0.48,42908,0,1
Ithaca College,3.59,0.964579901,6221,277671,0.66,1265,0.7,42884,0,0
Bentley University,3.66,0.963917526,4222,249287,0.83,1244,0.46,48000,0,0
St. Joseph's University,3.6,0.969420601,5377,209043,0.72,1210,0.78,43880,0,0
Loyola University Maryland,3.4,0.966492926,4104,199530,0.76,1270,0.66,47725,0,0
Providence College,3.4,0.971287941,4270,198600,0.81,1235,0.55,48760,0,0
Simmons College,3.4,0.952380952,1801,185790.5,0.68,1163,0.64,38590,0,0
Gallaudet University,3.2,0.660674157,1121,177013,0.2,883,0.66,16558,0,0
University of Scranton,3.5,0.969278997,3867,167536.5,0.72,1134,0.75,43310,0,1
Bryant University,3.5,0.96969697,3462,164350.5,0.73,1230,0.69,42109,0,0
